title,company,location,work_type,level,compensation,link,id,ai_type
Senior HPC and AI Networking Performance Research and Analysis Engineer,NVIDIA,3 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-hpc-and-ai-networking-performance-research-and-analysis-engineer/8330402,8330402,ai-first
Full Stack Engineer (Libra - Legal AI Assistant) (m/f/d),Wolters Kluwer,2 Locations,In-Office,Mid level,,https://builtin.com/job/full-stack-engineer-libra-legal-ai-assistant-m-f-d/7798691,7798691,ai-support
Automation Engineer - AI Insights (m/f/d),Statista,2 Locations,In-Office,Mid level,,https://builtin.com/job/automation-engineer-ai-insights-m-f-d/7038109,7038109,ai-support
Senior Site Reliability Engineer - AI Platform,N26,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-site-reliability-engineer-ai-platform/8386931,8386931,ai-support
"Software Engineer, AI (Python)",G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/software-engineer-ai-python/7980819,7980819,ai-support
"Software Engineer, AI (Rust)",G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/software-engineer-ai-rust/7980817,7980817,ai-support
"Software Engineer, AI (C#)",G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/software-engineer-ai-c/7980816,7980816,ai-support
"Software Engineer, AI (C++)",G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/software-engineer-ai-c/7980526,7980526,ai-support
Senior AI/ML Platform Engineer,IMTF - Excellence in RegTech Solutions,4 Locations,In-Office,Senior level,,https://builtin.com/job/senior-ai-ml-platform-engineer/8374506,8374506,ai-support
Senior AI Automation Engineer (m/f/d),AutoScout24,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-ai-automation-engineer-m-f-d/8372734,8372734,ai-support
AI Research Engineer - AI Safety,Helsing,4 Locations,In-Office,Mid level,,https://builtin.com/job/ai-research-engineer-ai-safety/6516518,6516518,ai-first
"Software Engineer, AI (Ruby)",G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/software-engineer-ai-ruby/8114488,8114488,ai-support
"Software Engineer, AI (C)",G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/software-engineer-ai-c/8114466,8114466,ai-support
"Software Engineer, AI (Java)",G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/software-engineer-ai-java/8114480,8114480,ai-support
Senior AI/ML Ops Engineer (d/f/m),Adevinta,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-ai-ml-ops-engineer-d-f-m/8355985,8355985,ai-first
Integration Engineer – Microsoft Graph & Enterprise AI Systems,FGS Global,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/integration-engineer-microsoft-graph-enterprise-ai-systems/8344138,8344138,ai-support
Senior Software Developer (AI+Java Experience),Lightspeed Commerce,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-software-developer-ai-java-experience/7095924,7095924,ai-support
Forward Deployed Engineer | Agentic AI,DeepL,3 Locations,In-Office,Mid level,,https://builtin.com/job/forward-deployed-engineer-agentic-ai/7894848,7894848,ai-support
"Senior Software Engineer, AI Model Serving - Berlin, Germany",Speechify,"Berlin, DEU",In-Office or Remote,Senior level,100K-130K Annually,https://builtin.com/job/senior-software-engineer-ai-model-serving-berlin-germany/7836400,7836400,ai-support
Applied AI Engineer,Percepta AI,28 Locations,,Mid level,,https://builtin.com/job/applied-ai-engineer/7569542,7569542,ai-first
"Staff Product Engineer, AI",Intercom,"Berlin, DEU",In-Office,Expert/Leader,,https://builtin.com/job/staff-product-engineer-ai/7696155,7696155,ai-support
"Senior Frontend Engineer, AI Flows",Miro,"Berlin, DEU",Hybrid,Senior level,,https://builtin.com/job/senior-frontend-engineer-ai-flows/8327595,8327595,ai-support
"Senior MLOps Engineer, AI Platform",GetYourGuide,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-mlops-engineer-ml-platform/8228041,8228041,ai-first
Senior AI Engineer,SmartRecruiters,Germany,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/8036893,8036893,ai-first
"AI Research Engineer - Robotics, Control, RL",Helsing,2 Locations,In-Office,Mid level,,https://builtin.com/job/ai-research-engineer-robotics-control-rl/7171085,7171085,ai-first
AI Research Engineer - Signal Processing,Helsing,2 Locations,In-Office,Mid level,,https://builtin.com/job/ai-research-engineer-signal-processing/6226139,6226139,ai-first
Principal Software Engineer - Risk Management / Risk AI (all genders),Zalando,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/principal-software-engineer/6469321,6469321,ai-support
"Senior Product Engineer, AI Platform",Intercom,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-product-engineer-ai-platform/7634726,7634726,ai-support
AI Research Engineer - Reinforcement Learning,Helsing,2 Locations,In-Office,Mid level,,https://builtin.com/job/ai-research-engineer-reinforcement-learning/7159109,7159109,ai-first
Senior Math Libraries Engineer – Emulation in AI and HPC,NVIDIA,3 Locations,Remote,Senior level,,https://builtin.com/job/senior-math-libraries-engineer-emulation-ai-and-hpc/7211789,7211789,ai-first
Senior Site Reliability Engineer — AI Studio (Inference Platform),Nebius,33 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-site-reliability-engineer-ai-studio-inference-platform/6362093,6362093,ai-support
AI Software Engineer (C++),G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/ai-software-engineer-c/8254987,8254987,ai-support
AI Software Engineer (Ruby),G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/ai-software-engineer-ruby/8254988,8254988,ai-support
AI Software Engineer (Rust),G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/ai-software-engineer-rust/8254968,8254968,ai-support
AI Software Engineer (C),G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/ai-software-engineer-c/8254964,8254964,ai-support
AI Software Engineer (C#),G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/ai-software-engineer-c/8254956,8254956,ai-support
AI Software Engineer (Python),G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/ai-software-engineer-python/8254955,8254955,ai-support
AI Software Engineer (Java),G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/ai-software-engineer-java/8254958,8254958,ai-support
AI Account Engineer - Activation,Snowflake,2 Locations,In-Office,Mid level,,https://builtin.com/job/ai-account-engineer-activation/8254408,8254408,ai-support
AI/ML Engineer Intern,Melotech,3 Locations,In-Office,Internship,,https://builtin.com/job/ai-ml-engineer-intern/8247435,8247435,ai-first
AI/ML Engineer,Melotech,3 Locations,In-Office,Mid level,,https://builtin.com/job/ai-ml-engineer/8247431,8247431,ai-first
Remote Senior Data Engineer (AI/ML) (m/f/d),RoomPriceGenie,6 Locations,Remote,Senior level,,https://builtin.com/job/remote-senior-data-engineer-ai-ml-m-f-d/7705896,7705896,ai-support
Software Engineer / AI Enabler (m/f/d),AutoScout24,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/software-engineer-ai-enabler-m-f-d/8241313,8241313,ai-support
Backend Engineer (AI Agents/Workflows) (m/f/d),Project A,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/backend-engineer-ai-agents-workflows-m-f-d/6916152,6916152,ai-support
Senior AI/ML Engineer,SumUp,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-ai-ml-engineer/7829093,7829093,ai-first
AI Research Engineer,Helsing,4 Locations,In-Office,Mid level,,https://builtin.com/job/ai-research-engineer/8229126,8229126,ai-first
"Senior Product Engineer, AI",Intercom,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-product-engineer-ai/7577183,7577183,ai-support
Senior Software Developer (IntelliJ AI),JetBrains,7 Locations,In-Office,Senior level,,https://builtin.com/job/senior-software-developer-intellij-ai/8190871,8190871,ai-support
Sr. AI Infrastructure Engineer,ArangoDB,Germany,Remote,Senior level,,https://builtin.com/job/senior-ai-infrastructure-engineer/8277114,8277114,ai-support
Databricks Automation & AI Platform Engineer,Xenon Seven,6 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/databricks-automation-ai-platform-engineer/8272984,8272984,ai-support
Senior ML Engineer (AI Research),Nebius,29 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-ml-engineer-ai-research/7613012,7613012,ai-first
AI Software Engineer – Python (m/f/x),Scalable Capital,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/ai-software-engineer-python-m-f-x/8019065,8019065,ai-support
Senior Machine Learning Engineer (IntelliJ AI),JetBrains,8 Locations,In-Office,Senior level,,https://builtin.com/job/senior-machine-learning-engineer-intellij-ai/8006782,8006782,ai-first
Senior Backend Engineer - Employee AI,Staffbase,"Berlin, DEU",In-Office,Senior level,200K-250K Annually,https://builtin.com/job/senior-backend-engineer-employee-ai/8161793,8161793,ai-support
Senior Infrastructure Engineer - AI/ML,Mitratech,Germany,Remote,Senior level,,https://builtin.com/job/senior-infrastructure-engineer-ai-ml/8060617,8060617,ai-support
Backend Engineer (AI Agents),Maze (mazehq.com),28 Locations,Remote,Expert/Leader,,https://builtin.com/job/backend-engineer-ai-agents/7321351,7321351,ai-support
Senior AI Full-Stack Software Engineer,Skedda,28 Locations,Remote,Senior level,75K-85K Annually,https://builtin.com/job/senior-ai-full-stack-software-engineer/7784584,7784584,ai-support
Senior AI/ML Engineer,Nansen,45 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-ai-ml-engineer/6861921,6861921,ai-first
"Fullstack Engineer, Generative AI (Frontend Focus)",Cracken,28 Locations,,Mid level,,https://builtin.com/job/fullstack-engineer-generative-ai-frontend-focus/7774052,7774052,ai-support
AI/ML Engineer,Cracken,28 Locations,,Mid level,3-5 Annually,https://builtin.com/job/ai-ml-engineer/7774043,7774043,ai-first
"Fullstack Engineer, Generative AI (Backend Focus)",Cracken,28 Locations,,Senior level,,https://builtin.com/job/fullstack-engineer-generative-ai-backend-focus/7774049,7774049,ai-support
AI Engineer,MVF,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer/8313283,8313283,ai-first
"Applied AI Engineer, International Public Sector",Scale AI,2 Locations,In-Office,Mid level,,https://builtin.com/job/applied-ai-engineer-international-public-sector/6760060,6760060,ai-first
Lead AI Engineer,Capco,"London, England, GBR",Hybrid,Senior level,,https://builtin.com/job/lead-ai-engineer/7378379,7378379,ai-first
"Senior Systems Engineer, AI Applications Tooling",Cloudflare,3 Locations,Hybrid,Mid level,,https://builtin.com/job/systems-engineer-ai-applications-tooling/4447088,4447088,ai-first
"Senior Machine Learning Engineer, Gen AI",Snap Inc.,"London, Greater London, England, GBR",Hybrid,Mid level,,https://builtin.com/job/machine-learning-engineer/8075931,8075931,ai-first
"Lead Machine Learning Engineer, Gen AI",Snap Inc.,"London, Greater London, England, GBR",Hybrid,Mid level,,https://builtin.com/job/machine-learning-engineer/8075921,8075921,ai-first
"Senior/Principal Systems Engineer, Workers AI (AI/ML)",Cloudflare,4 Locations,Hybrid,Senior level,,https://builtin.com/job/senior-principal-systems-engineer-workers-ai-ai-ml/6847192,6847192,ai-first
"Machine Learning Engineer, Gen AI",Snap Inc.,"London, Greater London, England, GBR",Hybrid,Mid level,,https://builtin.com/job/machine-learning-engineer/8075922,8075922,ai-first
Senior AI Solutions Engineer,Celonis,"London, Greater London, England, GBR",Hybrid,Senior level,,https://builtin.com/job/senior-ai-solutions-engineer/7887040,7887040,ai-support
"Principal Forward Deployed Engineer, AI (Remote)",Atlassian,"London, Greater London, England, GBR",In-Office or Remote,Expert/Leader,,https://builtin.com/job/principal-forward-deployed-engineer-ai-remote/7878450,7878450,ai-support
AI Engineer,CUBE (cube.global),"London, Greater London, England, GBR",In-Office,Junior,,https://builtin.com/job/ai-engineer/7990763,7990763,ai-first
Applied AI Engineer,Multiverse,"London, Greater London, England, GBR",In-Office,Junior,,https://builtin.com/job/applied-ai-engineer/7023088,7023088,ai-first
AI Engineer - Platform/MLOps,hyperexponential,2 Locations,In-Office,Entry level,,https://builtin.com/job/ai-engineer-platform-mlops/8162183,8162183,ai-first
Senior AI Engineer,Kainos,4 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/8157989,8157989,ai-first
Data Scientist/AI Engineer (Remote),YouGov,2 Locations,In-Office or Remote,Senior level,152K-174K Annually,https://builtin.com/job/ai-data-scientist-remote/7871123,7871123,ai-first
Customer Experience AI Engineer (f/m/d),Contentful,"London, Greater London, England, GBR",Hybrid,Senior level,,https://builtin.com/job/customer-experience-ai-engineer-f-m-d/8162783,8162783,ai-first
Senior Staff AI Engineer (Community & Research) - EMEA,Anyscale,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/senior-staff-ai-engineer-community-research-emea/8383185,8383185,ai-first
AI Engineer,Lloyd's,"London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer/8382001,8382001,ai-first
Lead AI Engineer,WeBuild-AI,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/lead-ai-engineer/7462667,7462667,ai-first
Principal AI Engineer,WeBuild-AI,"London, Greater London, England, GBR",In-Office,Expert/Leader,,https://builtin.com/job/principal-ai-engineer/7462666,7462666,ai-first
Machine Learning and AI Engineer - London,Toggle AI,"London, Greater London, England, GBR",In-Office,Senior level,90K-160K Annually,https://builtin.com/job/machine-learning-and-ai-engineer-london/8151485,8151485,ai-first
AI Engineer – Gen AI Specialist,OLIVER Agency,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer-gen-ai-specialist/8137457,8137457,ai-first
"Software Engineer , AI Agents Tooling & Platforms",Cloudflare,2 Locations,Hybrid,Senior level,,https://builtin.com/job/zaraz-systems-engineer/2910244,2910244,ai-support
"AI Software Engineer (Java, Scala)",iManage,"London, Greater London, England, GBR",Hybrid,Mid level,,https://builtin.com/job/ai-software-engineer/7667869,7667869,ai-support
"Principal AI Software Engineer (Java, Scala)",iManage,"London, Greater London, England, GBR",Hybrid,Senior level,,https://builtin.com/job/principal-ai-software-engineer-java-scala/8308677,8308677,ai-support
Senior AI Engineer,ASOS,"London, England, GBR",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer/7975296,7975296,ai-first
Applied AI Engineer – Agentic Workflows,Cohere AI,5 Locations,In-Office,Mid level,,https://builtin.com/job/applied-ai-engineer-agentic-workflows/8115165,8115165,ai-first
AI Engineer,Granola,"London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer/4757999,4757999,ai-first
Senior Applied AI Engineer,Lawhive,"London, Greater London, England, GBR",In-Office,Senior level,40-40 Annually,https://builtin.com/job/senior-applied-ai-engineer/7954004,7954004,ai-first
Senior AI Engineer,Gizmo,"London, Greater London, England, GBR",In-Office,Expert/Leader,,https://builtin.com/job/senior-ai-engineer/8100158,8100158,ai-first
"Senior AI Engineer, Centre of Excellence",Checkout.com,"London, Greater London, England, GBR",Hybrid,Senior level,,https://builtin.com/job/senior-ai-engineer/6776531,6776531,ai-first
Staff Software Engineer - Safety AI,Samsara,"London, Greater London, England, GBR",Hybrid,Senior level,,https://builtin.com/job/staff-software-engineer-fleet-safety/7385915,7385915,ai-support
AI Engineer,Quadrivia AI,2 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/ai-engineer/7932089,7932089,ai-first
Staff AI Engineer,Stacks,2 Locations,In-Office,Senior level,,https://builtin.com/job/staff-ai-engineer/4761860,4761860,ai-first
Fullstack AI Engineer - IT Platform Development,Spotify,"London, Greater London, England, GBR",In-Office or Remote,Mid level,,https://builtin.com/job/ai-engineer-it-platform-development/7929277,7929277,ai-first
AI Engineer - FDE (Forward Deployed Engineer),Databricks,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer-fde-forward-deployed-engineer/7933691,7933691,ai-first
AI Engineer,esure Group,"Reigate, Reigate and Banstead, Surrey, England, GBR",In-Office,Senior level,,https://builtin.com/job/ai-engineer/8345646,8345646,ai-first
Principal AI Engineer,Howden Re,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/principal-ai-engineer/8342701,8342701,ai-first
Principal AI Engineer,LSEG (London Stock Exchange Group),2 Locations,In-Office,Expert/Leader,,https://builtin.com/job/principal-ai-engineer/8098878,8098878,ai-first
AI Engineer / Machine Learning Engineer,SmartAssets,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/ai-engineer-machine-learning-engineer/7694512,7694512,ai-first
AI Engineer,BlueCrest Capital Management,"London, Greater London, England, GBR",In-Office,Junior,,https://builtin.com/job/junior-ai-engineer/7411453,7411453,ai-first
Senior AI Engineer,Lendable,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer/8316438,8316438,ai-first
Applied AI Engineer,Fuse Energy,2 Locations,In-Office or Remote,Mid level,,https://builtin.com/job/applied-ai-engineer/6736876,6736876,ai-first
Principal AI Engineer (Databricks) - UK,DATAPAO,United Kingdom,Remote,Senior level,70K-100K Annually,https://builtin.com/job/principal-ai-engineer-databricks-uk/7952098,7952098,ai-first
Senior Gen AI Developer,PA Consulting,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/senior-gen-ai-developer/8275583,8275583,ai-first
Lead AI Engineer,OutSystems,2 Locations,Remote,Senior level,,https://builtin.com/job/lead-ai-engineer/8343501,8343501,ai-first
Lead Gen AI Engineer,NewDay,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/gen-ai-solutions-lead/7895012,7895012,ai-first
AI Engineer,Orbital,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer/8249876,8249876,ai-first
AI Engineer - Wexler,Pear VC,"London, Greater London, England, GBR",In-Office,Mid level,70K-90K Annually,https://builtin.com/job/ai-engineer-wexler/8247111,8247111,ai-first
Senior AI Engineer,OutSystems,2 Locations,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/8343294,8343294,ai-first
AI Entry/Graduate Level Software Engineer (Java),iManage,"London, Greater London, England, GBR",Hybrid,Entry level,,https://builtin.com/job/ai-java-software-engineer-graduate-entry-level/8201043,8201043,ai-support
Senior AI Engineer,Translucent,"London, Greater London, England, GBR",Hybrid,Senior level,100K-150K Annually,https://builtin.com/job/senior-ai-engineer/6907294,6907294,ai-first
Lead AI Engineer,Kainos,4 Locations,In-Office,Senior level,,https://builtin.com/job/lead-ai-engineer/7583977,7583977,ai-first
AI Engineer,Normal Computing,3 Locations,Remote or Hybrid,Senior level,,https://builtin.com/job/staff-ai-engineer/6909445,6909445,ai-first
AI Engineer,Epistemix,3 Locations,Remote,Mid level,,https://builtin.com/job/ai-engineer/8309905,8309905,ai-first
"AI Engineer, Email CRM",Future (futureplc.com),2 Locations,In-Office or Remote,Mid level,60K-65K Annually,https://builtin.com/job/ai-engineer-email-crm/8299499,8299499,ai-first
"AI Engineer, Open Platform",Future (futureplc.com),United Kingdom,Remote,Mid level,60K-65K Annually,https://builtin.com/job/ai-engineer-open-platform/8299497,8299497,ai-first
AI engineer (UK),Writer,2 Locations,In-Office or Remote,Mid level,,https://builtin.com/job/ai-engineer-uk/8233183,8233183,ai-first
"AI Engineer, London",Eloquent AI,"London, Greater London, England, GBR",In-Office,Mid level,2-5 Annually,https://builtin.com/job/ai-engineer-london/7569470,7569470,ai-first
Lead AI Engineer,Euphoric,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/lead-ai-engineer/7796855,7796855,ai-first
AI Engineer,Solirius Consulting,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer/7808464,7808464,ai-first
"Applied AI Engineer, Enterprise",Scale AI,"London, Greater London, England, GBR",In-Office,Junior,,https://builtin.com/job/machine-learning-engineer-enterprise/7078385,7078385,ai-first
Sr AI Engineer | Remote - Europe | TS/Vue/NodeJS,n8n,33 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/sr-ai-engineer-remote-europe-ts-vue-nodejs/7780326,7780326,ai-first
AI Engineer,Elixirr,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer/8199865,8199865,ai-first
"Applied AI Engineer, Fullstack Software Engineer - EMEA",Mistral AI,5 Locations,Remote or Hybrid,Junior,,https://builtin.com/job/applied-ai-engineer-fullstack-software-engineer-emea/7783838,7783838,ai-first
AI Engineer (Platform),nPlan,"London, Greater London, England, GBR",In-Office,Mid level,70K-100K Annually,https://builtin.com/job/ai-engineer-platform/7133631,7133631,ai-first
AI Engineer,Ohme,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer/8190645,8190645,ai-first
AI Engineer,Informa,"London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer/8185811,8185811,ai-first
"Applied AI Engineer, Senior/Staff Devops/SRE - EMEA",Mistral AI,5 Locations,In-Office or Remote,Junior,,https://builtin.com/job/applied-ai-engineer-deployment-europe-paris/3831853,3831853,ai-first
AI Engineer,Lendable,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer/8029593,8029593,ai-first
AI Senior Solutions Engineer,Automation Anywhere,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/ai-senior-solutions-engineer/7742935,7742935,ai-support
AI Ops Engineer,NatWest Group,2 Locations,In-Office,Mid level,,https://builtin.com/job/ai-ops-engineer/8398518,8398518,ai-support
Trading Ops & Risk Systems Engineer (AI & Automation),Crypto.com,"London, Greater London, England, GBR",Hybrid,Senior level,,https://builtin.com/job/trading-ops-risk-systems-engineer-ai-automation/8259850,8259850,ai-support
AI Enablement Engineer,Cognition,9 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/ai-enablement-engineer/7470703,7470703,ai-support
"Forward Deployed Engineer, Applied AI",Anthropic,"London, Greater London, England, GBR",In-Office,Mid level,225K-255K Annually,https://builtin.com/job/forward-deployed-engineer/7861411,7861411,ai-support
Senior AI Engineer,Foundation Health,2 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7773793,7773793,ai-first
"Machine Learning Engineer - (Python, Docker, and API development,  AI/ML solutions) - Hybrid",Factset,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/machine-learning-engineer-python-docker-and-api-development-ai-ml-solutions-hybrid/8391549,8391549,ai-first
"Senior Software Engineer, AI Reliability Engineering",Anthropic,"London, Greater London, England, GBR",In-Office,Senior level,255K-325K Annually,https://builtin.com/job/senior-software-engineer-ai-reliability-engineering/8387134,8387134,ai-support
Founding Engineer - Stealth AI,Sxaler,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/founding-engineer-stealth-ai/8150752,8150752,ai-support
Software Engineer - Data & AI,Speechmatics,"London, Greater London, England, GBR",Hybrid,Mid level,,https://builtin.com/job/software-engineer-data-ai/7733907,7733907,ai-support
Senior AI Deployment Engineer,Stryker,12 Locations,In-Office,Senior level,,https://builtin.com/job/senior-ai-deployment-engineer/7206906,7206906,ai-first
AI Software Developer,WorldQuant,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/lead-ai-software-developer/6604377,6604377,ai-support
AI Product Engineer,Luminance,"London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-product-engineer/7242849,7242849,ai-support
Senior Data Scientist/AI Engineer  (Remote),YouGov,2 Locations,In-Office or Remote,Senior level,189K-212K Annually,https://builtin.com/job/senior-ai-data-scientist-remote/7871117,7871117,ai-first
Senior AI Engineer,GSMA,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer/7749455,7749455,ai-first
